#{"t_start": 1763633712.5493202, "env_id": "None"}
r,l,t
-5.879056,50,303.483497
-5.970042,50,303.983195
-1.606342,50,304.483399
-1.129784,50,304.983495
-4.869983,50,305.483717
-1.516403,50,305.985075
-1.053622,50,306.487714
-0.861651,50,306.983576
-3.811107,50,307.483563
-5.200748,50,307.983313
-2.280119,50,308.483571
-5.388241,50,308.983049
-1.283897,50,309.483691
-0.60808,50,309.983318
-6.07069,50,310.483412
-1.695708,50,310.983475
-0.856967,50,311.483463
-3.865921,50,311.983897
-2.014245,50,312.483582
-1.42012,50,312.983282
-2.582875,50,313.483397
-1.510478,50,313.983404
-1.458097,50,314.484227
-4.529693,50,314.98372
-2.923126,50,315.483623
-4.244704,50,315.983232
-0.805738,50,316.483818
-1.810836,50,316.983598
-6.060525,50,317.483222
-5.292659,50,317.983701
-2.516715,50,318.483751
-1.971125,50,318.983537
-1.232923,50,319.483457
-2.641408,50,319.983574
-2.684779,50,320.48349
-3.703775,50,320.984457
-5.36641,50,321.483461
-3.747734,50,321.983656
-5.144188,50,322.483236
-0.505485,50,322.983439
-2.831785,50,323.483295
-1.667739,50,323.983551
-0.844028,50,324.483622
-3.130627,50,324.983494
-2.051472,50,325.483725
-0.790299,50,325.98374
-0.241798,50,326.48308
-2.042509,50,326.983463
-0.756386,50,327.483629
-3.778402,50,327.983399
-3.583548,50,328.483573
-0.641135,50,328.982627
-0.673162,50,329.482333
-1.622651,50,329.983819
-1.326912,50,330.483426
-5.941154,50,330.984003
-4.739881,50,331.483028
-1.94593,50,331.982927
-0.77953,50,332.483019
-3.67661,50,332.983495
-4.62101,50,333.483487
-0.652119,50,333.983675
-1.501972,50,334.483686
-1.486459,50,334.983473
-4.452735,50,335.482984
-0.796556,50,335.984181
-1.472124,50,336.482799
-6.179845,50,336.982833
-7.134219,50,337.483969
-4.366699,50,337.982993
-0.770129,50,338.483006
-0.412481,50,338.983474
-0.562043,50,339.483413
-4.825322,50,339.98381
-0.768362,50,340.483948
-1.23021,50,340.983191
-7.387083,50,341.483421
-0.971629,50,341.982534
-3.130446,50,342.483376
-4.892816,50,342.984987
-3.546554,50,343.483893
-0.552714,50,343.984376
-1.059688,50,344.484591
-2.250205,50,344.983978
-0.351233,50,345.483707
-5.13321,50,345.984022
-2.001902,50,346.483598
-1.663361,50,346.983922
-1.721841,50,347.483988
-1.62543,50,347.984341
-1.610977,50,348.483551
-6.796326,50,348.983482
-1.971155,50,349.484335
-4.87389,50,349.983508
-3.651001,50,350.483285
-2.14516,50,350.983426
-0.970877,50,351.484267
-6.675,50,351.983617
-1.740266,50,352.484731
-1.518585,50,352.982868
-2.934607,50,353.483847
-0.32967,50,353.98345
-2.906828,50,354.483407
-1.893466,50,354.98355
-3.348832,50,355.485539
-1.08218,50,355.983589
-6.119857,50,356.483457
-1.031306,50,356.983671
-0.711174,50,357.483368
-5.659009,50,357.983242
-3.513389,50,358.484267
-6.714244,50,358.98418
-1.598515,50,359.483354
-0.509161,50,359.983964
-7.869086,50,360.483413
-1.207748,50,360.98328
-3.218195,50,361.483553
-0.653467,50,361.983528
-1.299403,50,362.48365
-2.311232,50,362.983918
-1.432788,50,363.483612
-0.829512,50,363.983487
-1.286417,50,364.483335
-1.400819,50,364.983188
-1.016061,50,365.483895
-0.889752,50,365.982651
-4.320281,50,366.482668
-0.398101,50,366.982616
-4.83744,50,367.483444
-4.09487,50,367.982658
-1.074865,50,368.483327
-3.993997,50,368.982901
-1.436981,50,369.483452
-0.925482,50,369.982901
-2.236898,50,370.483659
-1.050976,50,370.983424
-0.76945,50,371.483751
-2.907083,50,371.983787
-1.553801,50,372.483108
-3.078833,50,372.984085
-4.430075,50,373.483048
-0.690317,50,373.983942
-0.52452,50,374.483499
-1.577371,50,374.983521
-5.996153,50,375.482759
-5.688621,50,375.983011
-5.583492,50,376.483346
-3.858622,50,376.983614
-3.730549,50,377.483335
-3.425234,50,377.9828
-4.025677,50,378.483449
-2.588593,50,378.98332
-1.00382,50,379.484423
-5.797953,50,379.984319
-3.588509,50,380.482884
-1.891127,50,380.983455
-3.508753,50,381.48363
-0.813525,50,381.98321
-1.894795,50,382.483526
-2.505777,50,382.983676
-0.685098,50,383.483163
-6.562539,50,383.987458
-4.345957,50,384.489534
-2.562023,50,384.983506
-1.208705,50,385.483513
-0.573837,50,385.983611
-0.758367,50,386.48328
-0.572869,50,386.98327
-1.886791,50,387.483841
-1.612349,50,387.983471
-3.120534,50,388.483824
-0.423331,50,388.983595
-0.296952,50,389.483914
-0.902354,50,389.983458
-1.008279,50,390.483764
-1.935496,50,390.983714
-1.288296,50,391.483546
-1.729472,50,391.982951
-5.241381,50,392.483772
-1.338249,50,392.983657
-4.224177,50,393.483768
-4.601513,50,393.983421
-1.745155,50,394.484021
-0.779271,50,394.983454
-1.247506,50,395.483264
-1.592268,50,395.983621
-1.128627,50,396.483716
-0.945226,50,396.983704
-0.61777,50,397.48385
-7.726839,50,397.983215
-0.900189,50,398.482282
-0.947473,50,398.983572
-2.938917,50,399.483635
-1.371455,50,399.983625
-2.234258,50,400.483735
-0.343892,50,400.983671
-2.42608,50,401.483428
-0.446287,50,401.983459
-0.398842,50,402.483727
-3.177086,50,402.983746
-1.158993,50,403.48426
-3.781604,50,403.983605
-1.322576,50,404.483561
-0.579842,50,404.98359
-0.745322,50,405.484067
-2.305707,50,405.983456
-0.180366,50,406.483431
-0.557465,50,406.983066
-1.953494,50,407.483409
-1.376774,50,407.983689
-0.995146,50,408.483387
-2.329258,50,408.983346
-1.257107,50,409.483371
-4.424102,50,409.983624
-2.368681,50,410.48323
-4.589015,50,410.983394
-3.165057,50,411.48332
-1.425291,50,411.983633
-2.031768,50,412.482686
-4.596919,50,412.983984
-5.90465,50,413.483892
-2.46159,50,413.98427
-0.951745,50,414.483207
-0.725565,50,414.983424
-2.867441,50,415.48314
-2.869909,50,415.983267
-3.053537,50,416.483418
-4.093984,50,416.983326
-3.777092,50,417.483651
-3.5689,50,417.983339
-3.147726,50,418.48378
-1.797755,50,418.983508
-2.70281,50,419.483222
-2.5299,50,419.983232
-0.454056,50,420.48327
-0.311111,50,420.983411
-0.163249,50,421.483621
-2.751003,50,421.983537
-0.608038,50,422.483694
-4.299572,50,422.982474
-2.623202,50,423.483623
-2.433184,50,423.983457
-0.940792,50,424.483997
-1.753221,50,424.983784
-1.408676,50,425.483266
-0.929146,50,425.983365
-4.070961,50,426.484187
-0.201103,50,426.983544
-3.936818,50,427.483461
-2.033065,50,427.982638
-1.146024,50,428.484021
-2.850965,50,428.98336
-0.942059,50,429.48342
-0.92233,50,429.982989
-1.219048,50,430.483511
-7.638379,50,430.983106
-1.4014,50,431.48425
-4.426403,50,431.983281
-0.612956,50,432.483368
-2.878978,50,432.983758
-2.486437,50,433.4842
-2.170383,50,433.983446
-1.084256,50,434.48345
-3.834627,50,434.983225
-0.837743,50,435.483088
-7.48699,50,435.983307
-6.790478,50,436.48379
-0.643052,50,436.98381
-0.909773,50,437.48419
-0.853396,50,437.983263
-1.601847,50,438.483502
-1.642193,50,438.983621
-2.76905,50,439.483353
-0.423943,50,439.982757
-1.030205,50,440.483114
-2.727841,50,440.983336
-2.975369,50,441.484051
-0.915995,50,441.983458
-6.475257,50,442.483228
-0.884482,50,442.98356
-4.87134,50,443.483792
-0.726074,50,443.983693
-1.157982,50,444.484152
-1.710897,50,444.983349
-0.443355,50,445.483984
-3.269424,50,445.9837
-0.649941,50,446.483561
-1.56239,50,446.983632
-2.395472,50,447.483558
-1.440017,50,447.983292
-7.651657,50,448.484033
-1.991914,50,448.984013
-0.984259,50,449.483156
-1.314185,50,449.983485
-4.993856,50,450.483597
-0.216546,50,450.983244
-0.911236,50,451.483448
-1.61227,50,451.983833
-0.804103,50,452.483632
-5.252051,50,452.983278
-2.135051,50,453.483616
-4.26787,50,453.982971
-0.745528,50,454.483552
-0.541795,50,454.983664
-2.735839,50,455.483593
-1.423027,50,455.983684
-6.221353,50,456.483974
-5.208233,50,456.983285
-3.235119,50,457.483464
-2.850092,50,457.983438
-1.291111,50,458.485001
-4.055989,50,458.983588
-3.686891,50,459.48372
-0.735976,50,459.98365
-1.442773,50,460.483319
-4.55658,50,460.983392
-3.434754,50,461.483498
-0.839542,50,461.983944
-2.613758,50,462.482388
-1.155284,50,462.983302
-4.327865,50,463.483655
-2.521739,50,463.98318
-2.040977,50,464.484223
-5.006118,50,464.98338
-1.598577,50,465.483328
-3.24612,50,465.984054
-1.08704,50,466.483499
-4.78061,50,466.983786
-0.878194,50,467.483529
-3.469801,50,467.982504
-4.523588,50,468.483746
-0.561862,50,468.983168
-2.782778,50,469.483449
-1.243253,50,469.983264
-5.78178,50,470.484024
-3.86297,50,470.983291
-1.995828,50,471.483252
-1.347059,50,471.983318
-0.497861,50,472.483599
-6.490727,50,472.983812
-2.188959,50,473.483691
-4.718764,50,473.983652
-0.647585,50,474.482466
-0.911939,50,474.98365
-5.111651,50,475.483579
-2.224545,50,475.984192
-5.01531,50,476.484385
-0.508884,50,476.983656
-1.688786,50,477.484432
-7.693183,50,477.983322
-3.011803,50,478.483624
-4.836086,50,478.983536
-5.153476,50,479.483775
-0.623491,50,479.98315
-2.890767,50,480.483585
-0.114477,50,480.98367
-2.720037,50,481.482796
-0.758152,50,481.98307
-0.419662,50,482.483965
-2.217204,50,482.982546
-2.088237,50,483.483676
-3.007205,50,483.982535
-0.698343,50,484.48359
-5.170091,50,484.983685
-0.613738,50,485.484302
-2.091921,50,485.983426
-4.816748,50,486.483765
-1.667828,50,486.983011
-0.557009,50,487.484247
-1.258863,50,487.982552
-2.483272,50,488.483548
-0.687865,50,488.983542
-1.08394,50,489.483098
-0.123508,50,489.983645
-2.494124,50,490.48347
-1.241767,50,490.98348
-0.937051,50,491.483307
