#{"t_start": 1763457324.4299111, "env_id": "None"}
r,l,t
-1.398288,50,361.7148
-0.956461,50,362.214902
-0.530114,50,362.714221
-8.134279,50,363.215314
-0.674343,50,363.715569
-5.003039,50,364.215744
-4.162869,50,364.715585
-0.938465,50,365.214979
-3.374797,50,365.714843
-1.028948,50,366.214756
-1.005791,50,366.715517
-2.131151,50,367.215483
-1.364317,50,367.715086
-0.684407,50,368.215327
-2.789083,50,368.715798
-1.588201,50,369.214982
-3.075633,50,369.715831
-4.332875,50,370.215259
-0.556508,50,370.715788
-0.287711,50,371.215326
-1.716348,50,371.715227
-6.124153,50,372.214808
-5.721821,50,372.71575
-5.553492,50,373.216427
-3.807022,50,373.715333
-3.782949,50,374.21472
-3.465234,50,374.715507
-4.113678,50,375.214894
-2.540993,50,375.71537
-0.318855,50,376.215357
-5.686752,50,376.714916
-3.412509,50,377.215357
-1.645927,50,377.716392
-4.937953,50,378.215135
-1.704311,50,378.716315
-1.667595,50,379.215422
-2.461777,50,379.716352
-1.497098,50,380.215526
-6.590939,50,380.716296
-4.342357,50,381.215614
-2.126423,50,381.715217
-1.363105,50,382.215173
-0.201437,50,382.716457
-0.305907,50,383.215066
-0.363269,50,383.715295
-1.822792,50,384.215074
-1.372349,50,384.716579
-3.084534,50,385.216551
-0.67107,50,385.71506
-0.36775,50,386.215073
-1.280633,50,386.716278
-1.109049,50,387.215499
-1.980437,50,387.716599
-1.406279,50,388.215222
-1.761472,50,388.716058
-5.485381,50,389.215064
-0.900333,50,389.716561
-2.548978,50,390.214927
-4.665763,50,390.717005
-1.705155,50,391.215876
-0.96287,50,391.71666
-0.867327,50,392.216484
-2.071468,50,392.7164
-1.121648,50,393.215136
-1.053253,50,393.7168
-0.507278,50,394.216793
-7.934838,50,394.716802
-0.867789,50,395.216052
-0.622608,50,395.716568
-2.998117,50,396.215304
-1.169572,50,396.716481
-1.864258,50,397.216811
-0.198293,50,397.716195
-1.364479,50,398.216251
-0.406064,50,398.715229
-0.584333,50,399.215336
-3.089086,50,399.716805
-1.128593,50,400.21594
-3.709604,50,400.71691
-3.577761,50,401.21724
-0.59315,50,401.717093
-1.348553,50,402.215934
-2.183707,50,402.717045
-0.20498,50,403.217012
-0.896582,50,403.717149
-2.051453,50,404.215776
-1.340774,50,404.716743
-1.424425,50,405.217145
-2.357259,50,405.717554
-0.63018,50,406.216864
-5.440903,50,406.71647
-2.671341,50,407.216533
-4.644615,50,407.716467
-2.857057,50,408.216799
-2.224934,50,408.716558
-1.843368,50,409.21659
-4.700919,50,409.716434
-5.89065,50,410.216413
-2.46959,50,410.716741
-0.971623,50,411.218134
-0.363565,50,411.716829
-2.791841,50,412.216018
-2.953909,50,412.717287
-3.066337,50,413.216335
-3.315184,50,413.716605
-3.753092,50,414.216127
-3.5013,50,414.717633
-3.255725,50,415.216828
-1.996214,50,415.716357
-2.60321,50,416.216791
-2.048425,50,416.715892
-0.106439,50,417.216529
-0.769084,50,417.716067
-0.080231,50,418.216474
-2.679403,50,418.717495
-0.51072,50,419.21635
-4.212372,50,419.71739
-2.124802,50,420.216675
-2.425184,50,420.717281
-0.494063,50,421.216251
-1.729221,50,421.717706
-1.333076,50,422.216874
-0.587546,50,422.717392
-4.696561,50,423.216283
-0.176988,50,423.717735
-3.733218,50,424.217187
-2.741465,50,424.717717
-1.577098,50,425.21736
-2.810965,50,425.717816
-0.966059,50,426.216031
-0.629062,50,426.717912
-1.486939,50,427.217919
-7.640379,50,427.717864
-1.1778,50,428.21812
-4.418403,50,428.718155
-1.120368,50,429.218129
-2.900578,50,429.717868
-2.406837,50,430.217913
-2.141183,50,430.717232
-1.254923,50,431.217703
-3.665027,50,431.718523
-0.644282,50,432.218123
-8.806191,50,432.717689
-7.306878,50,433.218207
-0.56478,50,433.71822
-2.835657,50,434.217567
-0.914263,50,434.71828
-1.585847,50,435.217473
-1.801793,50,435.718257
-2.31105,50,436.218246
-0.303543,50,436.718527
-0.925819,50,437.21697
-1.918242,50,437.717363
-3.008169,50,438.218187
-2.459388,50,438.71694
-6.505257,50,439.219533
-0.804482,50,439.718319
-4.84614,50,440.218886
-0.359834,50,440.717726
-0.547582,50,441.218391
-1.699298,50,441.717851
-0.310844,50,442.217297
-2.026428,50,442.718478
-0.3725,50,443.217543
-1.44415,50,443.718096
-2.410582,50,444.218246
-0.860554,50,444.718588
-7.808057,50,445.217719
-1.955914,50,445.7173
-0.954569,50,446.218503
-1.154365,50,446.718617
-6.947856,50,447.217714
-0.660872,50,447.717534
-0.933493,50,448.21771
-1.95307,50,448.717804
-0.673723,50,449.218579
-5.18685,50,449.717915
-2.155051,50,450.217485
-4.47747,50,450.71859
-0.735797,50,451.217729
-1.810995,50,451.717595
-0.349439,50,452.217845
-2.877971,50,452.71798
-6.274953,50,453.217147
-4.509034,50,453.718749
-3.306719,50,454.218831
-4.148492,50,454.717868
-1.262605,50,455.218946
-7.323189,50,455.718395
-3.605291,50,456.217621
-0.293772,50,456.717625
-1.382773,50,457.217525
-4.45938,50,457.718686
-3.426754,50,458.218665
-0.763942,50,458.717332
-2.481758,50,459.21871
-1.329356,50,459.719182
-4.325465,50,460.218514
-5.329091,50,460.718729
-1.956977,50,461.217146
-5.318917,50,461.718202
-0.867583,50,462.218401
-1.68612,50,462.718166
-1.21464,50,463.218348
-3.75661,50,463.718913
-1.056149,50,464.218608
-3.549801,50,464.718563
-4.479588,50,465.218862
-0.469862,50,465.719107
-2.960242,50,466.218619
-0.829622,50,466.719079
-5.83298,50,467.218645
-3.97897,50,467.719116
-2.071828,50,468.21869
-1.339059,50,468.717684
-0.697461,50,469.218867
-6.730727,50,469.719056
-0.97165,50,470.219154
-4.790365,50,470.718499
-0.292729,50,471.218657
-0.428072,50,471.717798
-4.960051,50,472.218465
-2.192545,50,472.718373
-4.95731,50,473.217266
-1.167154,50,473.718433
-1.224786,50,474.218702
-7.766784,50,474.718531
-3.165003,50,475.218306
-4.658887,50,475.718339
-4.949476,50,476.218297
-0.618117,50,476.718528
-2.862767,50,477.218599
-0.378077,50,477.719019
-2.569237,50,478.218162
-0.662152,50,478.718258
-0.303662,50,479.218701
-2.217324,50,479.718324
-1.779253,50,480.218762
-2.843205,50,480.718729
-0.574743,50,481.219365
-5.143392,50,481.719346
-0.406732,50,482.218245
-2.247921,50,482.718601
-4.527548,50,483.217815
-1.880228,50,483.718394
-0.438387,50,484.219062
-1.278863,50,484.718171
-2.347672,50,485.218348
-0.815663,50,485.719151
-0.78994,50,486.218376
-0.127508,50,486.718335
-1.596124,50,487.218717
-1.209767,50,487.718323
-0.903032,50,488.218062
-6.278776,50,488.718579
-3.135241,50,489.218174
-2.102216,50,489.718199
-1.927042,50,490.21989
-6.111357,50,490.719141
-1.00038,50,491.218389
-2.207719,50,491.719572
-2.644796,50,492.218506
-0.818024,50,492.718402
-1.091514,50,493.218916
-0.918218,50,493.71982
-3.546796,50,494.218173
-0.246199,50,494.720034
-6.62314,50,495.219083
-1.136463,50,495.719918
-5.272366,50,496.217992
-2.090065,50,496.719018
-8.853678,50,497.219482
-1.551882,50,497.719906
-0.785534,50,498.219686
-2.074219,50,498.719843
-2.324475,50,499.21922
-4.136198,50,499.71946
-5.338281,50,500.218113
-4.903408,50,500.719921
-0.614651,50,501.218253
-1.436451,50,501.720509
-3.350968,50,502.218871
-6.01407,50,502.719209
-5.667924,50,503.222451
-0.870326,50,503.72005
-0.217474,50,504.218275
-3.182965,50,504.720018
-1.548354,50,505.21938
-0.904719,50,505.719148
-2.111118,50,506.219271
-0.977099,50,506.719984
-0.614741,50,507.219002
-5.113899,50,507.719225
-0.801496,50,508.219322
-1.096902,50,508.719388
-3.388497,50,509.219302
-2.718706,50,509.722232
-0.180972,50,510.220286
-0.403062,50,510.740038
-1.016381,50,511.21901
-1.174395,50,511.718706
-2.752534,50,512.220312
-0.80588,50,512.719886
-7.995297,50,513.219414
-2.901007,50,513.720354
-0.731348,50,514.21882
-0.373628,50,514.719773
-1.166045,50,515.219225
-2.385191,50,515.720248
-2.430383,50,516.220458
-3.299859,50,516.720206
-1.735569,50,517.21938
-5.623792,50,517.720305
-1.186403,50,518.219687
-1.271099,50,518.719903
-1.686543,50,519.220217
-2.126108,50,519.719562
-1.125062,50,520.219973
-1.083941,50,520.720501
-6.338293,50,521.218989
-2.868338,50,521.719233
-3.370191,50,522.219307
-3.360946,50,522.719371
-0.424517,50,523.220388
-1.948294,50,523.720218
-1.041645,50,524.219964
-3.870871,50,524.72039
-5.370622,50,525.219657
-3.096945,50,525.720284
-1.423634,50,526.220314
-0.946261,50,526.718798
-0.700048,50,527.220025
-2.120033,50,527.71882
-6.431981,50,528.220409
-2.233574,50,528.720362
-3.839423,50,529.219792
-0.350016,50,529.719916
-4.13311,50,530.219951
-1.023284,50,530.719723
-1.69324,50,531.219397
-5.12647,50,531.719639
-5.789078,50,532.220348
-0.616259,50,532.719559
-2.545762,50,533.219146
-2.465205,50,533.719627
